1;6;11;тема встречи;описание встречи;14.11.2018;16:57:48
2;4;17;тема встречи;описание встречи;22.10.2018;7:54:04
3;10;3;тема встречи;описание встречи;22.03.2018;19:49:33
4;1;4;тема встречи;описание встречи;16.02.2018;14:18:35
5;17;2;тема встречи;описание встречи;02.07.2018;13:26:49
6;18;16;тема встречи;описание встречи;16.07.2018;12:32:48
7;6;17;тема встречи;описание встречи;01.02.2018;15:54:28
8;15;9;тема встречи;описание встречи;13.09.2018;11:45:25
9;2;12;тема встречи;описание встречи;15.09.2018;7:48:06
10;2;13;тема встречи;описание встречи;07.02.2018;12:24:43
11;14;6;тема встречи;описание встречи;05.03.2018;13:36:03
12;18;18;тема встречи;описание встречи;11.02.2018;9:01:34
13;12;4;тема встречи;описание встречи;06.06.2018;10:53:43
14;14;10;тема встречи;описание встречи;23.05.2018;13:23:47
15;19;5;тема встречи;описание встречи;15.02.2018;9:31:11
16;18;10;тема встречи;описание встречи;14.09.2018;7:26:32
17;6;1;тема встречи;описание встречи;19.03.2018;17:47:08
18;8;15;тема встречи;описание встречи;02.07.2018;14:39:23
19;4;13;тема встречи;описание встречи;07.04.2018;17:06:34
20;13;10;тема встречи;описание встречи;21.10.2018;7:53:02
21;5;17;тема встречи;описание встречи;26.10.2018;19:41:56
22;20;16;тема встречи;описание встречи;12.05.2018;9:39:07
23;13;9;тема встречи;описание встречи;03.01.2018;10:08:44
24;5;2;тема встречи;описание встречи;19.07.2018;16:19:01
25;4;2;тема встречи;описание встречи;12.02.2018;8:33:44
26;2;11;тема встречи;описание встречи;02.01.2018;18:10:55
27;4;2;тема встречи;описание встречи;21.12.2018;7:49:14
28;4;12;тема встречи;описание встречи;01.10.2018;13:21:45
29;10;17;тема встречи;описание встречи;12.04.2018;16:15:45
30;11;16;тема встречи;описание встречи;12.01.2018;8:22:14
31;4;15;тема встречи;описание встречи;20.07.2018;15:50:43
32;15;17;тема встречи;описание встречи;12.04.2018;7:59:20
33;18;3;тема встречи;описание встречи;10.09.2018;17:20:27
34;12;16;тема встречи;описание встречи;12.06.2018;14:26:41
35;3;9;тема встречи;описание встречи;20.08.2018;19:34:01
36;17;2;тема встречи;описание встречи;08.05.2018;16:52:58
37;8;3;тема встречи;описание встречи;22.02.2018;11:14:41
38;6;12;тема встречи;описание встречи;05.05.2018;9:10:58
39;3;5;тема встречи;описание встречи;13.12.2018;18:09:40
40;9;14;тема встречи;описание встречи;16.09.2018;18:17:48
41;13;16;тема встречи;описание встречи;04.08.2018;19:59:35
42;2;3;тема встречи;описание встречи;15.02.2018;13:50:26
43;19;7;тема встречи;описание встречи;15.08.2018;14:07:40
44;19;19;тема встречи;описание встречи;03.07.2018;18:04:43
45;14;5;тема встречи;описание встречи;01.09.2018;19:10:54
46;15;12;тема встречи;описание встречи;22.12.2018;13:46:08
47;16;14;тема встречи;описание встречи;22.02.2018;14:37:44
48;13;14;тема встречи;описание встречи;17.04.2018;19:30:12
49;3;5;тема встречи;описание встречи;16.11.2018;8:58:46
50;14;6;тема встречи;описание встречи;25.02.2018;19:06:04
